utm_source,utm_medium,channel
google,cpc,paid_search
google,organic,organic_search
bing,cpc,paid_search
bing,organic,organic_search
facebook,cpc,paid_social
facebook,social,organic_social
linkedin,cpc,paid_social
linkedin,social,organic_social
twitter,cpc,paid_social
twitter,social,organic_social
instagram,cpc,paid_social
instagram,social,organic_social
direct,,direct
,direct,direct
referral,,referral
,referral,referral
email,email,email
newsletter,email,email
partner,referral,partner
,organic,organic_search